"mRNA_size" "ORF_size" "Fickett_score" "Hexamer_score" "coding_prob" "novel"
"MSTRG.7.1" 1801 462 1.2856 0.546731952191 0.99324660030949 TRUE
"MSTRG.8.1" 3039 462 0.7792 0.0679341071563 0.567566093881205 TRUE
"MSTRG.8.2" 1084 450 0.9468 0.103586023938 0.738649357367377 TRUE
"MSTRG.13.1" 2609 813 0.8037 0.15605608322 0.992167673201392 TRUE
"MSTRG.16.1" 1027 312 0.965 0.16877295707 0.489121217514874 TRUE
"MSTRG.17.1" 1122 663 1.2538 0.660396213937 0.999613132121992 TRUE
"MSTRG.18.1" 1997 1479 1.3156 0.625789290145 0.999999956099984 TRUE
"MSTRG.19.1" 924 183 1.1928 0.255624778564 0.457900781050666 TRUE
"MSTRG.24.1" 2417 258 1.0715 0.166906491097 0.409004515995286 TRUE
"MSTRG.26.2" 2219 525 0.9146 0.181293562841 0.898106905962384 TRUE
"MSTRG.64.4" 4404 1794 1.3156 0.584442094537 0.999999998102309 TRUE
"MSTRG.69.8" 1338 717 1.1687 0.241533133584 0.99636754680447 TRUE
"MSTRG.80.9" 2498 897 0.8526 0.3333370749 0.99911748495741 TRUE
"MSTRG.85.3" 2026 1257 1.2556 0.63682739168 0.999999393898669 TRUE
"MSTRG.85.4" 1186 651 1.2514 0.628474420817 0.999456693745621 TRUE
"MSTRG.85.8" 2184 1524 1.2712 0.661478359365 0.999999974841403 TRUE
"MSTRG.85.13" 788 189 1.1418 0.575154122746 0.841438981405044 TRUE
"MSTRG.90.3" 2449 2343 1.2411 0.576753795497 0.999999999995034 TRUE
"MSTRG.90.15" 3488 1464 1.2898 0.357958385283 0.999999687159368 TRUE
"MSTRG.90.14" 3218 1218 1.2766 0.402884231198 0.999996149459863 TRUE
"MSTRG.90.16" 2970 1005 0.7455 0.278871689608 0.999455203168216 TRUE
"MSTRG.103.2" 4851 1920 1.2636 0.67972671452 0.999999999681291 TRUE
"MSTRG.132.9" 489 267 1.0599 0.237506360628 0.55644713720393 TRUE
"MSTRG.142.3" 2237 2067 1.0316 0.398627339045 0.999999999346808 TRUE
"MSTRG.159.3" 796 570 1.0357 0.289027574144 0.978731983897178 TRUE
"MSTRG.163.5" 3991 558 0.7861 0.0398859708576 0.759024768072735 TRUE
"MSTRG.164.5" 3208 1755 0.8696 0.312430703915 0.999999933349518 TRUE
"MSTRG.164.20" 907 597 1.2024 0.362800415571 0.994218853600466 TRUE
"MSTRG.179.2" 5831 2376 1.3029 0.527278592768 0.999999999995491 TRUE
"MSTRG.180.3" 4980 822 1.2693 0.465100941235 0.999749722384981 TRUE
"MSTRG.186.3" 4298 1845 1.2853 0.545777617665 0.999999998503209 TRUE
"MSTRG.202.10" 2704 2661 1.1123 0.308579357873 0.999999999998861 TRUE
"MSTRG.209.1" 1012 684 1.159 0.0763027368773 0.985610803698691 TRUE
"MSTRG.211.7" 1092 369 0.9208 0.147542205682 0.576743804080051 TRUE
"MSTRG.220.6" 1208 489 0.7676 0.357782032168 0.91631380167428 TRUE
"MSTRG.242.2" 3022 1965 1.3274 0.507498491438 0.999999999602284 TRUE
"MSTRG.242.1" 2076 951 1.35 0.544003465338 0.999976350302331 TRUE
"MSTRG.264.2" 2069 300 1.2189 0.765070932185 0.986058243524719 TRUE
"MSTRG.274.5" 1854 795 1.1763 0.44891795205 0.999566520046739 TRUE
"MSTRG.297.4" 2515 366 0.9676 0.383389795473 0.85696992799058 TRUE
"MSTRG.313.2" 4384 3708 1.2892 0.556924328558 1 TRUE
"MSTRG.334.2" 1639 231 1.013 0.670250625151 0.902496559231786 TRUE
"MSTRG.340.3" 3975 1662 1.1306 0.218026135065 0.999999858096628 TRUE
"MSTRG.350.2" 3761 2421 1.2219 0.434613076706 0.999999999994356 TRUE
"MSTRG.351.4" 3447 2727 1.059 0.140334232438 0.999999999998109 TRUE
"MSTRG.372.2" 8474 3231 0.9517 0.257841568529 1 TRUE
"MSTRG.378.3" 2204 1134 1.2433 0.382924940776 0.99998819772525 TRUE
"MSTRG.378.2" 2069 1134 1.2433 0.382924940776 0.99998828476475 TRUE
"MSTRG.380.1" 1437 495 0.9461 -0.0969835836263 0.575305685039641 TRUE
"MSTRG.379.13" 943 726 1.0311 0.191258232074 0.993016133222635 TRUE
"MSTRG.379.14" 1145 1029 1.0832 0.178548449752 0.999783660959372 TRUE
"MSTRG.396.6" 930 552 1.0235 0.147427763303 0.938138711795335 TRUE
"MSTRG.396.11" 1568 789 0.8948 0.0631231728553 0.987633236300758 TRUE
"MSTRG.409.17" 3154 1161 1.1996 -0.00567909101228 0.999887042953688 TRUE
"MSTRG.417.9" 2240 681 1.1593 0.234082380947 0.993845340699925 TRUE
"MSTRG.455.3" 5706 1089 1.2296 0.415974725777 0.999979703963286 TRUE
"MSTRG.460.2" 1450 411 0.8429 0.227536474989 0.726427483676745 TRUE
"MSTRG.492.15" 853 600 1.1688 0.381819564102 0.994422759092038 TRUE
"MSTRG.503.1" 2665 1740 1.0664 0.142213036679 0.999999890925527 TRUE
"MSTRG.535.1" 7455 1602 1.1295 0.303052482146 0.999999798647599 TRUE
"MSTRG.536.3" 5467 798 1.2486 0.625986493732 0.999863959326873 TRUE
"MSTRG.561.7" 1479 468 1.2797 0.427406864494 0.987019987844981 TRUE
"MSTRG.578.1" 7024 372 1.0271 0.15974896774 0.612594893237193 TRUE
"MSTRG.578.6" 5249 1056 1.0916 0.211359184486 0.999840538991602 TRUE
"MSTRG.578.11" 5750 2124 1.0115 0.20980594206 0.999999998589222 TRUE
"MSTRG.587.3" 1365 732 1.2507 0.510527065215 0.999545356434158 TRUE
"MSTRG.598.4" 2097 1590 0.8038 0.427707414203 0.999999752396923 TRUE
"MSTRG.598.10" 1300 756 1.2327 0.63335469846 0.999825064205899 TRUE
"MSTRG.599.4" 4232 2865 0.8386 0.211387249582 0.999999999999414 TRUE
"MSTRG.605.4" 5175 447 1.173 0.53383951865 0.984808764670338 TRUE
"MSTRG.605.3" 2315 678 1.1366 0.463163915359 0.998271162306218 TRUE
"MSTRG.605.5" 3232 978 0.6214 0.325813785859 0.999137816357465 TRUE
"MSTRG.605.6" 2830 1203 1.2212 0.449307630789 0.999995928468967 TRUE
"MSTRG.616.2" 2195 384 1.1238 0.2568808235 0.855700712203662 TRUE
"MSTRG.630.27" 12284 10884 1.1136 0.260182663446 1 TRUE
"MSTRG.630.30" 6138 4803 1.0975 0.292342445427 1 TRUE
"MSTRG.630.33" 5806 4590 1.0975 0.292047659454 1 TRUE
"MSTRG.636.25" 1304 591 1.1772 0.269723682945 0.987952488412276 TRUE
"MSTRG.636.32" 1604 999 0.9797 0.195405308136 0.999599803812141 TRUE
"MSTRG.640.5" 701 495 0.9268 0.389757211337 0.96198561182441 TRUE
"MSTRG.647.9" 1377 1236 1.2411 0.232173625505 0.999990937212538 TRUE
"MSTRG.654.5" 2973 1440 0.7654 0.00787356895208 0.999979706612779 TRUE
"MSTRG.685.2" 4166 384 1.1512 0.31599790535 0.89332369292171 TRUE
"MSTRG.702.1" 1148 717 0.9721 0.383536144534 0.997007430500143 TRUE
"MSTRG.729.1" 1463 864 0.9653 0.255978203647 0.998692676675702 TRUE
"MSTRG.729.7" 1021 780 1.1135 0.249710311127 0.997966090461445 TRUE
"MSTRG.729.8" 667 483 1.2203 0.308722736239 0.973881606925869 TRUE
"MSTRG.729.9" 743 483 1.2203 0.308722736239 0.973775400102891 TRUE
"MSTRG.731.13" 947 738 0.8202 0.507321338164 0.998134071277883 TRUE
"MSTRG.749.5" 1113 303 1.1731 0.28217566186 0.778438030141043 TRUE
"MSTRG.752.4" 872 579 1.2686 0.328083899726 0.99307334148963 TRUE
"MSTRG.752.20" 2256 678 1.1119 0.272425629789 0.994054828734324 TRUE
"MSTRG.756.4" 2788 1173 0.9602 0.170576681918 0.999924176637297 TRUE
"MSTRG.759.2" 837 684 0.7841 -0.132394005622 0.842587275335068 TRUE
"MSTRG.779.5" 1071 654 0.9828 0.213135847115 0.983870813902765 TRUE
"MSTRG.801.18" 2671 1920 0.8964 0.103269189352 0.999999966854929 TRUE
"MSTRG.809.2" 12690 660 1.108 0.497710026422 0.996663087189111 TRUE
"MSTRG.824.5" 3035 2298 1.1025 0.500909450913 0.999999999978325 TRUE
"MSTRG.829.5" 6451 4479 0.8064 0.0570529883875 1 TRUE
"MSTRG.835.10" 1626 591 1.0622 0.522614012183 0.996039058022325 TRUE
"MSTRG.849.1" 7032 2715 0.8221 0.461079527293 0.999999999999149 TRUE
"MSTRG.849.31" 1827 1050 1.0642 0.480720903372 0.999969694958916 TRUE
"MSTRG.854.1" 4598 1680 0.7467 -0.0651612817644 0.999997485696854 TRUE
